"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0416",0,0,0,29600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0419",0,0,0,13615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0420",0,0,0,22387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0422",0,0,0,49200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0424",0,0,0,6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0430",0,0,0,26749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10288,2
"F0432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12564,0,0,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404815,0,0,0,0,0,109715,2
"F0439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35921,0,0,0,0,0,0,16511,2
"F0444",0,0,0,0,0,0,0,0,0,0,0,0,13144,0,0,0,0,0,0,0,0,0,0,1
"F0212",0,0,0,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",0,0,0,14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0458",0,0,0,0,0,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",0,0,0,3334,0,0,0,32869,0,0,2921,0,0,0,0,12205,10447,0,0,5173,0,12757,6789,8
"F0219",0,0,0,17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",0,19235,0,4465,0,0,0,8750,0,0,0,0,0,0,0,14875,0,0,0,10455,0,0,138950,6
"F0230",0,0,0,106115,0,0,0,180930,0,0,0,45050,39760,0,0,0,0,0,0,11750,0,24255,85240,7
"F0232",0,0,0,0,0,0,3391,0,0,0,0,0,10516,0,0,0,6951,0,0,8137,0,0,0,4
"F0235",0,0,0,4276,0,0,0,36833,0,0,0,0,18924,0,0,7270,0,0,0,0,0,0,46801,5
"F0236",0,0,0,30130,0,0,0,39260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220365,3
"F0238",0,0,0,11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,4735,30715,4
"F0240",0,0,0,4140,0,0,0,7444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42440,3
"F0248",0,0,0,24320,0,0,0,26744,0,0,5713,0,0,0,0,15526,0,0,0,0,0,0,40355,5
"F0259",0,0,0,11566,0,0,0,0,0,0,0,0,0,0,0,0,10470,0,0,0,0,0,28965,3
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,1
"F0273",0,0,0,0,0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,0,0,0,0,6578,0,0,0,0,0,0,0,0,0,4539,2
"F0489",0,0,0,21597,0,0,0,25929,0,0,12280,0,12896,0,0,0,0,0,0,2632,0,14960,0,6
